iter	Passed	Remaining
0	138	138310
1	140	70151
2	142	47506
3	145	36129
4	148	29591
5	151	25086
6	153	21770
7	154	19176
8	155	17174
9	157	15600
10	164	14795
11	165	13654
12	166	12660
13	167	11828
14	169	11119
15	170	10485
16	171	9915
17	174	9538
18	176	9095
19	177	8694
20	178	8331
21	180	8019
22	181	7713
23	185	7530
24	186	7287
25	188	7058
26	189	6837
27	191	6635
28	192	6435
29	196	6358
30	198	6193
31	199	6036
32	201	5901
33	202	5755
34	203	5615
35	204	5483
36	210	5480
37	211	5366
38	213	5251
39	214	5144
40	215	5042
41	216	4937
42	217	4838
43	218	4754
44	220	4675
45	221	4593
46	222	4512
47	223	4440
48	225	4367
49	226	4298
50	229	4265
51	230	4203
52	231	4141
53	233	4097
54	235	4041
55	236	3983
56	243	4032
57	245	3979
58	246	3938
59	248	3888
60	250	3852
61	255	3865
62	257	3826
63	258	3781
64	260	3740
65	261	3701
66	262	3658
67	263	3610
68	268	3626
69	270	3595
70	272	3561
71	273	3529
72	279	3551
73	281	3517
74	282	3483
75	284	3461
76	285	3427
77	287	3399
78	289	3376
79	290	3345
80	293	3328
81	294	3300
82	295	3269
83	301	3282
84	302	3252
85	303	3223
86	305	3201
87	306	3177
88	307	3148
89	308	3121
90	311	3111
91	315	3113
92	316	3089
93	317	3064
94	319	3041
95	320	3016
96	321	2992
97	327	3013
98	328	2990
99	331	2981
100	332	2963
101	333	2936
102	334	2916
103	340	2935
104	342	2917
105	343	2896
106	344	2876
107	346	2863
108	347	2843
109	349	2825
110	350	2810
111	352	2793
112	353	2777
113	355	2762
114	356	2743
115	357	2725
116	364	2747
117	365	2730
118	366	2713
119	368	2704
120	369	2687
121	371	2676
122	373	2660
123	375	2649
124	376	2634
125	377	2621
126	379	2605
127	380	2589
128	382	2582
129	383	2567
130	385	2556
131	386	2542
132	388	2532
133	389	2519
134	393	2524
135	395	2513
136	397	2503
137	398	2489
138	400	2477
139	401	2466
140	407	2481
141	408	2470
142	410	2458
143	412	2451
144	413	2440
145	415	2427
146	420	2442
147	422	2434
148	424	2425
149	425	2412
150	426	2399
151	428	2392
152	434	2407
153	436	2397
154	437	2386
155	439	2380
156	441	2368
157	442	2358
158	448	2370
159	449	2360
160	451	2350
161	452	2340
162	454	2334
163	456	2325
164	457	2317
165	459	2306
166	461	2304
167	471	2333
168	472	2325
169	474	2316
170	478	2319
171	481	2316
172	483	2308
173	494	2347
174	498	2348
175	503	2358
176	505	2351
177	507	2343
178	514	2358
179	516	2350
180	517	2340
181	518	2330
182	520	2322
183	521	2313
184	525	2313
185	526	2305
186	528	2299
187	530	2292
188	532	2284
189	534	2277
190	537	2275
191	538	2266
192	541	2265
193	544	2260
194	546	2256
195	548	2248
196	549	2239
197	551	2233
198	553	2227
199	554	2219
200	560	2229
201	562	2221
202	564	2214
203	565	2208
204	567	2201
205	569	2193
206	571	2187
207	572	2180
208	573	2171
209	579	2178
210	580	2172
211	582	2164
212	584	2159
213	585	2150
214	587	2143
215	593	2153
216	594	2146
217	595	2137
218	597	2129
219	598	2121
220	599	2113
221	601	2106
222	603	2101
223	604	2094
224	605	2086
225	607	2079
226	608	2071
227	609	2063
228	610	2056
229	614	2057
230	616	2050
231	618	2045
232	619	2039
233	620	2032
234	621	2024
235	623	2019
236	626	2015
237	627	2009
238	628	2002
239	629	1994
240	631	1987
241	632	1980
242	633	1974
243	639	1979
244	640	1973
245	641	1967
246	643	1961
247	644	1955
248	646	1948
249	647	1943
250	649	1938
251	651	1933
252	653	1928
253	655	1925
254	657	1919
255	663	1927
256	665	1923
257	666	1918
258	668	1913
259	670	1907
260	675	1913
261	677	1909
262	679	1903
263	680	1897
264	683	1894
265	684	1888
266	690	1894
267	691	1888
268	692	1883
269	694	1877
270	696	1872
271	697	1866
272	702	1870
273	704	1865
274	705	1860
275	706	1854
276	708	1849
277	710	1845
278	711	1839
279	713	1835
280	715	1831
281	717	1825
282	718	1820
283	720	1815
284	721	1810
285	722	1804
286	724	1799
287	725	1793
288	726	1787
289	728	1782
290	729	1777
291	730	1772
292	732	1766
293	736	1769
294	738	1764
295	739	1759
296	741	1754
297	742	1749
298	744	1746
299	745	1740
300	748	1739
301	751	1736
302	752	1731
303	753	1725
304	755	1720
305	756	1716
306	757	1710
307	759	1705
308	762	1705
309	764	1700
310	765	1695
311	767	1691
312	768	1686
313	769	1681
314	770	1675
315	774	1677
316	776	1672
317	777	1667
318	778	1662
319	780	1657
320	781	1652
321	782	1647
322	784	1643
323	786	1640
324	788	1638
325	790	1633
326	791	1628
327	792	1623
328	793	1618
329	795	1614
330	797	1612
331	799	1609
332	801	1604
333	802	1599
334	803	1595
335	805	1591
336	806	1587
337	807	1582
338	811	1582
339	813	1578
340	814	1574
341	815	1569
342	816	1564
343	818	1561
344	819	1556
345	820	1551
346	824	1551
347	826	1549
348	827	1544
349	829	1539
350	830	1536
351	831	1531
352	833	1527
353	834	1522
354	837	1521
355	838	1516
356	839	1512
357	841	1508
358	842	1504
359	843	1499
360	844	1495
361	849	1497
362	850	1492
363	852	1489
364	853	1484
365	854	1480
366	856	1476
367	857	1472
368	859	1469
369	861	1466
370	863	1464
371	865	1460
372	866	1456
373	870	1456
374	871	1452
375	873	1449
376	877	1449
377	883	1453
378	885	1451
379	888	1449
380	890	1447
381	896	1450
382	898	1447
383	900	1444
384	902	1441
385	904	1438
386	909	1440
387	911	1437
388	913	1434
389	915	1431
390	921	1434
391	923	1432
392	925	1429
393	928	1428
394	931	1426
395	934	1424
396	935	1421
397	937	1418
398	944	1422
399	947	1420
400	949	1417
401	952	1417
402	991	1469
403	994	1467
404	1003	1474
405	1011	1479
406	1015	1479
407	1019	1479
408	1022	1476
409	1025	1475
410	1028	1473
411	1030	1470
412	1032	1467
413	1034	1464
414	1036	1461
415	1040	1460
416	1042	1456
417	1044	1453
418	1052	1459
419	1053	1455
420	1055	1451
421	1057	1448
422	1064	1452
423	1066	1448
424	1068	1445
425	1070	1442
426	1071	1438
427	1079	1442
428	1080	1438
429	1082	1434
430	1084	1431
431	1092	1435
432	1094	1433
433	1096	1429
434	1097	1425
435	1100	1424
436	1102	1420
437	1104	1417
438	1105	1413
439	1108	1410
440	1116	1414
441	1117	1410
442	1119	1407
443	1120	1403
444	1121	1399
445	1125	1398
446	1128	1396
447	1130	1392
448	1132	1389
449	1133	1385
450	1135	1381
451	1142	1384
452	1143	1380
453	1145	1377
454	1146	1373
455	1148	1370
456	1155	1372
457	1156	1369
458	1158	1365
459	1160	1362
460	1162	1359
461	1165	1357
462	1167	1353
463	1169	1350
464	1170	1347
465	1172	1343
466	1175	1341
467	1177	1338
468	1178	1334
469	1180	1331
470	1182	1327
471	1186	1326
472	1187	1323
473	1189	1320
474	1191	1316
475	1192	1313
476	1194	1309
477	1198	1308
478	1199	1305
479	1201	1301
480	1203	1298
481	1205	1295
482	1211	1296
483	1213	1293
484	1215	1290
485	1216	1287
486	1218	1283
487	1219	1279
488	1220	1275
489	1223	1273
490	1225	1270
491	1227	1266
492	1229	1264
493	1231	1260
494	1232	1257
495	1234	1254
496	1236	1250
497	1238	1247
498	1239	1244
499	1245	1245
500	1246	1241
501	1248	1238
502	1250	1235
503	1251	1231
504	1253	1228
505	1259	1229
506	1260	1225
507	1262	1222
508	1264	1219
509	1265	1215
510	1266	1212
511	1268	1209
512	1270	1205
513	1271	1202
514	1273	1199
515	1275	1195
516	1278	1194
517	1279	1190
518	1281	1187
519	1283	1185
520	1285	1181
521	1290	1182
522	1292	1178
523	1293	1175
524	1296	1172
525	1297	1169
526	1299	1166
527	1302	1164
528	1304	1161
529	1306	1158
530	1308	1155
531	1309	1151
532	1310	1148
533	1316	1149
534	1318	1146
535	1320	1143
536	1321	1139
537	1323	1136
538	1325	1133
539	1327	1131
540	1329	1128
541	1331	1124
542	1332	1121
543	1334	1118
544	1335	1114
545	1340	1114
546	1344	1113
547	1347	1111
548	1351	1110
549	1353	1107
550	1355	1104
551	1356	1101
552	1363	1102
553	1365	1099
554	1367	1096
555	1368	1093
556	1370	1090
557	1375	1089
558	1377	1086
559	1378	1083
560	1380	1080
561	1381	1076
562	1389	1078
563	1391	1075
564	1397	1076
565	1399	1073
566	1401	1070
567	1402	1066
568	1404	1063
569	1408	1062
570	1410	1059
571	1412	1056
572	1414	1054
573	1415	1050
574	1417	1047
575	1423	1047
576	1425	1044
577	1426	1041
578	1429	1039
579	1430	1036
580	1438	1037
581	1440	1034
582	1442	1031
583	1444	1028
584	1452	1030
585	1453	1027
586	1455	1024
587	1457	1021
588	1465	1022
589	1467	1019
590	1469	1016
591	1471	1014
592	1476	1013
593	1478	1010
594	1480	1007
595	1482	1004
596	1489	1005
597	1491	1002
598	1492	999
599	1494	996
600	1500	996
601	1504	994
602	1505	991
603	1507	988
604	1508	985
605	1510	981
606	1514	980
607	1517	978
608	1518	975
609	1522	973
610	1523	969
611	1527	968
612	1530	966
613	1532	963
614	1534	960
615	1535	957
616	1537	954
617	1540	952
618	1542	949
619	1543	946
620	1547	944
621	1552	943
622	1554	940
623	1555	937
624	1557	934
625	1561	932
626	1562	929
627	1564	926
628	1565	923
629	1571	923
630	1573	920
631	1575	917
632	1578	914
633	1579	911
634	1586	911
635	1588	909
636	1590	906
637	1591	903
638	1597	902
639	1599	899
640	1601	896
641	1603	893
642	1604	890
643	1608	889
644	1611	887
645	1613	884
646	1615	881
647	1617	878
648	1622	877
649	1624	874
650	1626	871
651	1628	869
652	1630	866
653	1633	864
654	1636	861
655	1638	858
656	1639	856
657	1641	853
658	1643	850
659	1649	849
660	1651	846
661	1652	843
662	1654	840
663	1656	838
664	1665	838
665	1666	835
666	1668	832
667	1670	830
668	1676	829
669	1677	826
670	1679	823
671	1681	820
672	1682	817
673	1683	814
674	1689	813
675	1691	810
676	1693	807
677	1694	804
678	1696	801
679	1700	800
680	1702	797
681	1704	794
682	1707	792
683	1709	789
684	1717	789
685	1720	787
686	1722	784
687	1723	781
688	1725	778
689	1729	776
690	1736	776
691	1738	773
692	1739	770
693	1741	767
694	1742	764
695	1745	762
696	1746	759
697	1748	756
698	1751	754
699	1755	752
700	1756	749
701	1758	746
702	1761	744
703	1762	741
704	1770	740
705	1771	737
706	1773	735
707	1777	733
708	1779	730
709	1782	727
710	1784	725
711	1789	723
712	1791	721
713	1793	718
714	1795	715
715	1798	713
716	1800	710
717	1802	707
718	1804	705
719	1806	702
720	1810	700
721	1811	697
722	1813	694
723	1816	692
724	1817	689
725	1821	687
726	1823	684
727	1825	681
728	1827	679
729	1833	678
730	1836	675
731	1837	672
732	1839	669
733	1842	667
734	1845	665
735	1847	662
736	1850	660
737	1851	657
738	1856	655
739	1858	652
740	1859	649
741	1861	647
742	1863	644
743	1868	642
744	1870	640
745	1871	637
746	1873	634
747	1876	632
748	1882	630
749	1885	628
750	1886	625
751	1888	622
752	1890	620
753	1892	617
754	1894	614
755	1896	611
756	1897	609
757	1899	606
758	1902	603
759	1904	601
760	1906	598
761	1907	595
762	1916	595
763	1918	592
764	1919	589
765	1923	587
766	1927	585
767	1928	582
768	1930	579
769	1931	577
770	1936	575
771	1939	572
772	1940	569
773	1942	567
774	1944	564
775	1945	561
776	1953	560
777	1955	557
778	1957	555
779	1958	552
780	1961	550
781	1963	547
782	1965	544
783	1968	542
784	1975	540
785	1976	538
786	1978	535
787	1980	532
788	1981	529
789	1988	528
790	1991	526
791	1992	523
792	1995	521
793	2002	519
794	2004	516
795	2005	514
796	2007	511
797	2008	508
798	2015	507
799	2017	504
800	2019	501
801	2020	498
802	2022	496
803	2026	493
804	2029	491
805	2031	488
806	2034	486
807	2035	483
808	2036	480
809	2039	478
810	2041	475
811	2043	473
812	2044	470
813	2045	467
814	2052	465
815	2053	463
816	2055	460
817	2056	457
818	2058	454
819	2059	452
820	2067	450
821	2069	448
822	2070	445
823	2072	442
824	2074	439
825	2078	437
826	2079	435
827	2081	432
828	2082	429
829	2084	426
830	2085	424
831	2087	421
832	2089	418
833	2090	416
834	2092	413
835	2094	410
836	2097	408
837	2099	405
838	2101	403
839	2103	400
840	2104	397
841	2105	395
842	2107	392
843	2110	390
844	2112	387
845	2113	384
846	2115	382
847	2116	379
848	2118	376
849	2121	374
850	2122	371
851	2124	369
852	2125	366
853	2127	363
854	2128	361
855	2135	359
856	2136	356
857	2137	353
858	2139	351
859	2140	348
860	2142	345
861	2148	343
862	2149	341
863	2151	338
864	2152	336
865	2154	333
866	2155	330
867	2161	328
868	2163	326
869	2164	323
870	2166	320
871	2167	318
872	2169	315
873	2175	313
874	2177	311
875	2178	308
876	2180	305
877	2181	303
878	2183	300
879	2187	298
880	2189	295
881	2190	293
882	2192	290
883	2194	287
884	2195	285
885	2196	282
886	2200	280
887	2202	277
888	2203	275
889	2204	272
890	2206	269
891	2207	267
892	2210	264
893	2213	262
894	2214	259
895	2216	257
896	2217	254
897	2218	252
898	2219	249
899	2225	247
900	2227	244
901	2228	242
902	2230	239
903	2231	236
904	2232	234
905	2236	232
906	2239	229
907	2240	227
908	2242	224
909	2243	221
910	2244	219
911	2246	216
912	2251	214
913	2253	212
914	2254	209
915	2256	206
916	2257	204
917	2259	201
918	2266	199
919	2268	197
920	2270	194
921	2271	192
922	2273	189
923	2276	187
924	2279	184
925	2280	182
926	2282	179
927	2284	177
928	2285	174
929	2291	172
930	2292	169
931	2294	167
932	2295	164
933	2297	162
934	2298	159
935	2303	157
936	2304	154
937	2306	152
938	2307	149
939	2309	147
940	2310	144
941	2311	142
942	2319	140
943	2320	137
944	2322	135
945	2323	132
946	2325	130
947	2326	127
948	2331	125
949	2332	122
950	2334	120
951	2335	117
952	2337	115
953	2338	112
954	2344	110
955	2346	107
956	2347	105
957	2349	102
958	2350	100
959	2351	97
960	2354	95
961	2358	93
962	2360	90
963	2361	88
964	2363	85
965	2364	83
966	2365	80
967	2367	78
968	2370	75
969	2371	73
970	2373	70
971	2374	68
972	2376	65
973	2378	63
974	2385	61
975	2389	58
976	2390	56
977	2392	53
978	2393	51
979	2395	48
980	2396	46
981	2399	43
982	2401	41
983	2403	39
984	2404	36
985	2406	34
986	2407	31
987	2408	29
988	2410	26
989	2412	24
990	2413	21
991	2415	19
992	2416	17
993	2417	14
994	2420	12
995	2422	9
996	2424	7
997	2425	4
998	2427	2
999	2428	0
